_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
55,2012Q1,S92000003,d,S08000028,All Cancer Types,d,10,"",10,""
56,2012Q1,S92000003,d,S08000029,All Cancer Types,d,163,"",153,""
57,2012Q1,S92000003,d,S08000030,All Cancer Types,d,221,"",212,""
58,2012Q1,S92000003,d,S08000031,All Cancer Types,d,793,"",752,""
59,2012Q1,S92000003,d,S08000032,All Cancer Types,d,222,"",216,""
60,2012Q1,S92000003,d,SB0801,All Cancer Types,d,26,"",24,""
61,2012Q1,S08000015,"",S08000015,Breast,"",52,"",52,""
62,2012Q1,S08000015,"",S08000017,Breast,"",2,"",2,""
63,2012Q1,S08000015,"",S08000031,Breast,"",5,"",3,""
64,2012Q1,S08000016,"",S08000016,Breast,"",6,"",6,""
65,2012Q1,S08000016,"",S08000024,Breast,"",1,"",1,""
66,2012Q1,S08000017,"",S08000017,Breast,"",8,"",8,""
67,2012Q1,S08000017,"",S08000024,Breast,"",3,"",3,""
68,2012Q1,S08000019,"",S08000019,Breast,"",25,"",21,""
69,2012Q1,S08000019,"",S08000031,Breast,"",2,"",2,""
70,2012Q1,S08000020,"",S08000020,Breast,"",86,"",86,""
71,2012Q1,S08000022,"",S08000022,Breast,"",36,"",36,""
72,2012Q1,S08000022,"",S08000024,Breast,"",1,"",1,""
73,2012Q1,S08000024,"",S08000016,Breast,"",4,"",4,""
74,2012Q1,S08000024,"",S08000019,Breast,"",1,"",1,""
75,2012Q1,S08000024,"",S08000024,Breast,"",161,"",161,""
76,2012Q1,S08000024,"",S08000029,Breast,"",3,"",3,""
77,2012Q1,S08000025,"",S08000020,Breast,"",1,"",1,""
78,2012Q1,S08000026,"",S08000026,Breast,"",1,"",1,""
79,2012Q1,S08000029,"",S08000024,Breast,"",1,"",1,""
80,2012Q1,S08000029,"",S08000029,Breast,"",23,"",23,""
81,2012Q1,S08000030,"",S08000030,Breast,"",67,"",67,""
82,2012Q1,S08000031,"",S08000031,Breast,"",203,"",203,""
83,2012Q1,S08000031,"",S08000032,Breast,"",4,"",4,""
84,2012Q1,S08000032,"",S08000031,Breast,"",1,"",1,""
85,2012Q1,S08000032,"",S08000032,Breast,"",52,"",52,""
86,2012Q1,S92000003,d,S08000015,Breast,"",52,"",52,""
87,2012Q1,S92000003,d,S08000016,Breast,"",10,"",10,""
88,2012Q1,S92000003,d,S08000017,Breast,"",10,"",10,""
89,2012Q1,S92000003,d,S08000019,Breast,"",26,"",22,""
90,2012Q1,S92000003,d,S08000020,Breast,"",87,"",87,""
91,2012Q1,S92000003,d,S08000022,Breast,"",36,"",36,""
92,2012Q1,S92000003,d,S08000024,Breast,"",167,"",167,""
93,2012Q1,S92000003,d,S08000026,Breast,"",1,"",1,""
94,2012Q1,S92000003,d,S08000029,Breast,"",26,"",26,""
95,2012Q1,S92000003,d,S08000030,Breast,"",67,"",67,""
96,2012Q1,S92000003,d,S08000031,Breast,"",211,"",209,""
97,2012Q1,S92000003,d,S08000032,Breast,"",56,"",56,""
98,2012Q1,S08000015,"",S08000015,Cervical,"",2,"",2,""
99,2012Q1,S08000015,"",S08000031,Cervical,"",1,"",1,""
100,2012Q1,S08000016,"",S08000016,Cervical,"",1,"",1,""
101,2012Q1,S08000019,"",S08000031,Cervical,"",1,"",1,""
102,2012Q1,S08000020,"",S08000020,Cervical,"",4,"",4,""
103,2012Q1,S08000022,"",S08000022,Cervical,"",3,"",3,""
104,2012Q1,S08000024,"",S08000024,Cervical,"",2,"",2,""
105,2012Q1,S08000029,"",S08000024,Cervical,"",2,"",1,""
106,2012Q1,S08000029,"",S08000029,Cervical,"",1,"",1,""
107,2012Q1,S08000030,"",S08000030,Cervical,"",2,"",2,""
108,2012Q1,S08000031,"",S08000031,Cervical,"",6,"",6,""
109,2012Q1,S08000032,"",S08000031,Cervical,"",5,"",5,""
110,2012Q1,S08000032,"",S08000032,Cervical,"",3,"",2,""
111,2012Q1,S92000003,d,S08000015,Cervical,"",2,"",2,""
112,2012Q1,S92000003,d,S08000016,Cervical,"",1,"",1,""
113,2012Q1,S92000003,d,S08000020,Cervical,"",4,"",4,""
114,2012Q1,S92000003,d,S08000022,Cervical,"",3,"",3,""
115,2012Q1,S92000003,d,S08000024,Cervical,"",4,"",3,""
116,2012Q1,S92000003,d,S08000029,Cervical,"",1,"",1,""
117,2012Q1,S92000003,d,S08000030,Cervical,"",2,"",2,""
118,2012Q1,S92000003,d,S08000031,Cervical,"",13,"",13,""
119,2012Q1,S92000003,d,S08000032,Cervical,"",3,"",2,""
120,2012Q1,S08000015,"",S08000015,Colorectal,"",31,"",29,""
121,2012Q1,S08000015,"",S08000031,Colorectal,"",1,"",1,""
122,2012Q1,S08000016,"",S08000016,Colorectal,"",13,"",13,""
123,2012Q1,S08000016,"",S08000024,Colorectal,"",2,"",1,""
124,2012Q1,S08000017,"",S08000017,Colorectal,"",20,"",20,""
125,2012Q1,S08000019,"",S08000019,Colorectal,"",22,"",20,""
126,2012Q1,S08000019,"",S08000031,Colorectal,"",1,"",1,""
127,2012Q1,S08000020,"",S08000020,Colorectal,"",44,"",32,""
128,2012Q1,S08000022,"",S08000022,Colorectal,"",30,"",27,""
129,2012Q1,S08000024,"",S08000024,Colorectal,"",97,"",94,""
130,2012Q1,S08000025,"",S08000020,Colorectal,"",2,"",1,""
131,2012Q1,S08000025,"",S08000025,Colorectal,"",2,"",2,""
132,2012Q1,S08000026,"",S08000020,Colorectal,"",2,"",1,""
133,2012Q1,S08000026,"",S08000026,Colorectal,"",4,"",4,""
134,2012Q1,S08000028,"",S08000022,Colorectal,"",1,"",1,""
135,2012Q1,S08000028,"",S08000028,Colorectal,"",2,"",2,""
136,2012Q1,S08000029,"",S08000024,Colorectal,"",3,"",2,""
137,2012Q1,S08000029,"",S08000029,Colorectal,"",32,"",27,""
138,2012Q1,S08000030,"",S08000030,Colorectal,"",42,"",37,""
139,2012Q1,S08000031,"",S08000022,Colorectal,"",2,"",1,""
140,2012Q1,S08000031,"",S08000031,Colorectal,"",100,"",93,""
141,2012Q1,S08000032,"",S08000031,Colorectal,"",6,"",4,""
142,2012Q1,S08000032,"",S08000032,Colorectal,"",44,"",43,""
143,2012Q1,S92000003,d,S08000015,Colorectal,"",31,"",29,""
144,2012Q1,S92000003,d,S08000016,Colorectal,"",13,"",13,""
145,2012Q1,S92000003,d,S08000017,Colorectal,"",20,"",20,""
146,2012Q1,S92000003,d,S08000019,Colorectal,"",22,"",20,""
147,2012Q1,S92000003,d,S08000020,Colorectal,"",48,"",34,""
148,2012Q1,S92000003,d,S08000022,Colorectal,"",33,"",29,""
149,2012Q1,S92000003,d,S08000024,Colorectal,"",102,"",97,""
150,2012Q1,S92000003,d,S08000025,Colorectal,"",2,"",2,""
151,2012Q1,S92000003,d,S08000026,Colorectal,"",4,"",4,""
152,2012Q1,S92000003,d,S08000028,Colorectal,"",2,"",2,""
153,2012Q1,S92000003,d,S08000029,Colorectal,"",32,"",27,""
154,2012Q1,S92000003,d,S08000030,Colorectal,"",42,"",37,""
155,2012Q1,S92000003,d,S08000031,Colorectal,"",108,"",99,""
156,2012Q1,S92000003,d,S08000032,Colorectal,"",44,"",43,""
157,2012Q1,S08000015,"",S08000015,Head & Neck,"",2,"",2,""
158,2012Q1,S08000015,"",S08000031,Head & Neck,"",1,"",1,""
159,2012Q1,S08000016,"",S08000016,Head & Neck,"",1,"",1,""
160,2012Q1,S08000016,"",S08000024,Head & Neck,"",1,"",1,""
161,2012Q1,S08000017,"",S08000017,Head & Neck,"",2,"",2,""
162,2012Q1,S08000017,"",S08000024,Head & Neck,"",1,"",1,""
163,2012Q1,S08000017,"",S08000031,Head & Neck,"",2,"",2,""
164,2012Q1,S08000019,"",S08000019,Head & Neck,"",2,"",2,""
165,2012Q1,S08000019,"",S08000031,Head & Neck,"",4,"",3,""
166,2012Q1,S08000020,"",S08000020,Head & Neck,"",10,"",9,""
167,2012Q1,S08000022,"",S08000020,Head & Neck,"",1,"",1,""
168,2012Q1,S08000022,"",S08000022,Head & Neck,"",8,"",7,""
169,2012Q1,S08000024,"",S08000024,Head & Neck,"",16,"",14,""
170,2012Q1,S08000029,"",S08000024,Head & Neck,"",3,"",3,""
171,2012Q1,S08000029,"",S08000029,Head & Neck,"",2,"",2,""
172,2012Q1,S08000030,"",S08000030,Head & Neck,"",8,"",7,""
173,2012Q1,S08000031,"",S08000031,Head & Neck,"",33,"",32,""
174,2012Q1,S08000032,"",S08000031,Head & Neck,"",1,"",1,""
175,2012Q1,S08000032,"",S08000032,Head & Neck,"",4,"",4,""
176,2012Q1,S92000003,d,S08000015,Head & Neck,"",2,"",2,""
177,2012Q1,S92000003,d,S08000016,Head & Neck,"",1,"",1,""
178,2012Q1,S92000003,d,S08000017,Head & Neck,"",2,"",2,""
179,2012Q1,S92000003,d,S08000019,Head & Neck,"",2,"",2,""
180,2012Q1,S92000003,d,S08000020,Head & Neck,"",11,"",10,""
181,2012Q1,S92000003,d,S08000022,Head & Neck,"",8,"",7,""
182,2012Q1,S92000003,d,S08000024,Head & Neck,"",21,"",19,""
183,2012Q1,S92000003,d,S08000029,Head & Neck,"",2,"",2,""
184,2012Q1,S92000003,d,S08000030,Head & Neck,"",8,"",7,""
185,2012Q1,S92000003,d,S08000031,Head & Neck,"",41,"",39,""
186,2012Q1,S92000003,d,S08000032,Head & Neck,"",4,"",4,""
187,2012Q1,S08000015,"",S08000015,Lung,"",34,"",33,""
188,2012Q1,S08000015,"",S08000020,Lung,"",1,"",1,""
189,2012Q1,S08000015,"",S08000031,Lung,"",7,"",7,""
190,2012Q1,S08000015,"",SB0801,Lung,"",2,"",2,""
191,2012Q1,S08000016,"",S08000016,Lung,"",13,"",13,""
192,2012Q1,S08000016,"",S08000024,Lung,"",3,"",3,""
193,2012Q1,S08000017,"",S08000017,Lung,"",12,"",12,""
194,2012Q1,S08000017,"",S08000024,Lung,"",2,"",2,""
195,2012Q1,S08000017,"",SB0801,Lung,"",1,"",1,""
196,2012Q1,S08000019,"",S08000019,Lung,"",24,"",24,""
197,2012Q1,S08000019,"",S08000024,Lung,"",1,"",1,""
198,2012Q1,S08000019,"",S08000031,Lung,"",15,"",14,""
199,2012Q1,S08000019,"",SB0801,Lung,"",3,"",3,""
200,2012Q1,S08000020,"",S08000020,Lung,"",45,"",42,""
201,2012Q1,S08000022,"",S08000022,Lung,"",26,"",25,""
202,2012Q1,S08000022,"",S08000031,Lung,"",3,"",3,""
203,2012Q1,S08000024,"",S08000024,Lung,"",101,"",95,""
204,2012Q1,S08000026,"",S08000020,Lung,"",2,"",2,""
205,2012Q1,S08000026,"",S08000026,Lung,"",3,"",3,""
206,2012Q1,S08000028,"",S08000028,Lung,"",5,"",5,""
207,2012Q1,S08000028,"",SB0801,Lung,"",1,"",1,""
208,2012Q1,S08000029,"",S08000024,Lung,"",14,"",11,""
209,2012Q1,S08000029,"",S08000029,Lung,"",41,"",41,""
210,2012Q1,S08000029,"",S08000030,Lung,"",3,"",3,""
211,2012Q1,S08000030,"",S08000020,Lung,"",1,"",1,""
212,2012Q1,S08000030,"",S08000024,Lung,"",4,"",3,""
213,2012Q1,S08000030,"",S08000030,Lung,"",35,"",34,""
214,2012Q1,S08000031,"",S08000031,Lung,"",104,"",89,""
215,2012Q1,S08000031,"",SB0801,Lung,"",9,"",7,""
216,2012Q1,S08000032,"",S08000031,Lung,"",22,"",21,""
217,2012Q1,S08000032,"",S08000032,Lung,"",32,"",32,""
218,2012Q1,S08000032,"",SB0801,Lung,"",9,"",9,""
219,2012Q1,S92000003,d,S08000015,Lung,"",34,"",33,""
220,2012Q1,S92000003,d,S08000016,Lung,"",13,"",13,""
221,2012Q1,S92000003,d,S08000017,Lung,"",12,"",12,""
222,2012Q1,S92000003,d,S08000019,Lung,"",24,"",24,""
223,2012Q1,S92000003,d,S08000020,Lung,"",49,"",46,""
224,2012Q1,S92000003,d,S08000022,Lung,"",26,"",25,""
225,2012Q1,S92000003,d,S08000024,Lung,"",125,"",115,""
226,2012Q1,S92000003,d,S08000026,Lung,"",3,"",3,""
227,2012Q1,S92000003,d,S08000028,Lung,"",5,"",5,""
228,2012Q1,S92000003,d,S08000029,Lung,"",41,"",41,""
229,2012Q1,S92000003,d,S08000030,Lung,"",38,"",37,""
230,2012Q1,S92000003,d,S08000031,Lung,"",151,"",134,""
231,2012Q1,S92000003,d,S08000032,Lung,"",32,"",32,""
232,2012Q1,S92000003,d,SB0801,Lung,"",25,"",23,""
233,2012Q1,S08000015,"",S08000015,Lymphoma,"",10,"",9,""
234,2012Q1,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
235,2012Q1,S08000017,"",S08000017,Lymphoma,"",2,"",2,""
236,2012Q1,S08000019,"",S08000019,Lymphoma,"",5,"",5,""
237,2012Q1,S08000020,"",S08000020,Lymphoma,"",5,"",2,""
238,2012Q1,S08000022,"",S08000022,Lymphoma,"",5,"",5,""
239,2012Q1,S08000024,"",S08000024,Lymphoma,"",14,"",14,""
240,2012Q1,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
241,2012Q1,S08000029,"",S08000024,Lymphoma,"",1,"",1,""
242,2012Q1,S08000029,"",S08000029,Lymphoma,"",6,"",5,""
243,2012Q1,S08000030,"",S08000030,Lymphoma,"",5,"",5,""
244,2012Q1,S08000031,"",S08000031,Lymphoma,"",18,"",18,""
245,2012Q1,S08000032,"",S08000032,Lymphoma,"",4,"",4,""
246,2012Q1,S92000003,d,S08000015,Lymphoma,"",10,"",9,""
247,2012Q1,S92000003,d,S08000016,Lymphoma,"",3,"",3,""
248,2012Q1,S92000003,d,S08000017,Lymphoma,"",2,"",2,""
249,2012Q1,S92000003,d,S08000019,Lymphoma,"",5,"",5,""
250,2012Q1,S92000003,d,S08000020,Lymphoma,"",6,"",3,""
251,2012Q1,S92000003,d,S08000022,Lymphoma,"",5,"",5,""
252,2012Q1,S92000003,d,S08000024,Lymphoma,"",15,"",15,""
253,2012Q1,S92000003,d,S08000029,Lymphoma,"",6,"",5,""
254,2012Q1,S92000003,d,S08000030,Lymphoma,"",5,"",5,""
255,2012Q1,S92000003,d,S08000031,Lymphoma,"",18,"",18,""
256,2012Q1,S92000003,d,S08000032,Lymphoma,"",4,"",4,""
257,2012Q1,S08000015,"",S08000015,Melanoma,"",2,"",2,""
258,2012Q1,S08000015,"",S08000031,Melanoma,"",1,"",0,""
259,2012Q1,S08000016,"",S08000016,Melanoma,"",3,"",3,""
260,2012Q1,S08000016,"",S08000024,Melanoma,"",1,"",1,""
261,2012Q1,S08000017,"",S08000017,Melanoma,"",3,"",3,""
262,2012Q1,S08000017,"",S08000024,Melanoma,"",1,"",1,""
263,2012Q1,S08000019,"",S08000019,Melanoma,"",5,"",5,""
264,2012Q1,S08000020,"",S08000020,Melanoma,"",9,"",9,""
265,2012Q1,S08000022,"",S08000022,Melanoma,"",8,"",8,""
266,2012Q1,S08000022,"",S08000024,Melanoma,"",1,"",1,""
267,2012Q1,S08000024,"",S08000024,Melanoma,"",23,"",22,""
268,2012Q1,S08000026,"",S08000026,Melanoma,"",1,"",1,""
269,2012Q1,S08000029,"",S08000029,Melanoma,"",5,"",5,""
270,2012Q1,S08000030,"",S08000030,Melanoma,"",10,"",10,""
271,2012Q1,S08000031,"",S08000031,Melanoma,"",25,"",25,""
272,2012Q1,S08000032,"",S08000031,Melanoma,"",3,"",3,""
273,2012Q1,S08000032,"",S08000032,Melanoma,"",13,"",13,""
274,2012Q1,S92000003,d,S08000015,Melanoma,"",2,"",2,""
275,2012Q1,S92000003,d,S08000016,Melanoma,"",3,"",3,""
276,2012Q1,S92000003,d,S08000017,Melanoma,"",3,"",3,""
277,2012Q1,S92000003,d,S08000019,Melanoma,"",5,"",5,""
278,2012Q1,S92000003,d,S08000020,Melanoma,"",9,"",9,""
279,2012Q1,S92000003,d,S08000022,Melanoma,"",8,"",8,""
280,2012Q1,S92000003,d,S08000024,Melanoma,"",26,"",25,""
281,2012Q1,S92000003,d,S08000026,Melanoma,"",1,"",1,""
282,2012Q1,S92000003,d,S08000029,Melanoma,"",5,"",5,""
283,2012Q1,S92000003,d,S08000030,Melanoma,"",10,"",10,""
284,2012Q1,S92000003,d,S08000031,Melanoma,"",29,"",28,""
285,2012Q1,S92000003,d,S08000032,Melanoma,"",13,"",13,""
286,2012Q1,S08000015,"",S08000015,Ovarian,"",2,"",2,""
287,2012Q1,S08000015,"",S08000031,Ovarian,"",3,"",2,""
288,2012Q1,S08000016,"",S08000016,Ovarian,"",2,"",2,""
289,2012Q1,S08000017,"",S08000017,Ovarian,"",2,"",2,""
290,2012Q1,S08000017,"",S08000024,Ovarian,"",1,"",1,""
291,2012Q1,S08000019,"",S08000019,Ovarian,"",1,"",1,""
292,2012Q1,S08000019,"",S08000031,Ovarian,"",3,"",3,""
293,2012Q1,S08000020,"",S08000020,Ovarian,"",9,"",9,""
294,2012Q1,S08000022,"",S08000022,Ovarian,"",2,"",2,""
295,2012Q1,S08000024,"",S08000024,Ovarian,"",13,"",12,""
296,2012Q1,S08000029,"",S08000024,Ovarian,"",1,"",1,""
297,2012Q1,S08000029,"",S08000029,Ovarian,"",4,"",2,""
298,2012Q1,S08000030,"",S08000030,Ovarian,"",4,"",4,""
299,2012Q1,S08000031,"",S08000031,Ovarian,"",6,"",6,""
300,2012Q1,S08000032,"",S08000031,Ovarian,"",4,"",4,""
301,2012Q1,S08000032,"",S08000032,Ovarian,"",2,"",2,""
302,2012Q1,S92000003,d,S08000015,Ovarian,"",2,"",2,""
303,2012Q1,S92000003,d,S08000016,Ovarian,"",2,"",2,""
304,2012Q1,S92000003,d,S08000017,Ovarian,"",2,"",2,""
305,2012Q1,S92000003,d,S08000019,Ovarian,"",1,"",1,""
306,2012Q1,S92000003,d,S08000020,Ovarian,"",9,"",9,""
307,2012Q1,S92000003,d,S08000022,Ovarian,"",2,"",2,""
308,2012Q1,S92000003,d,S08000024,Ovarian,"",15,"",14,""
309,2012Q1,S92000003,d,S08000029,Ovarian,"",4,"",2,""
310,2012Q1,S92000003,d,S08000030,Ovarian,"",4,"",4,""
311,2012Q1,S92000003,d,S08000031,Ovarian,"",16,"",15,""
312,2012Q1,S92000003,d,S08000032,Ovarian,"",2,"",2,""
313,2012Q1,S08000015,"",S08000015,Upper GI,"",22,"",22,""
314,2012Q1,S08000015,"",S08000031,Upper GI,"",6,"",5,""
315,2012Q1,S08000016,"",S08000016,Upper GI,"",6,"",6,""
316,2012Q1,S08000016,"",S08000024,Upper GI,"",1,"",1,""
317,2012Q1,S08000017,"",S08000017,Upper GI,"",17,"",17,""
318,2012Q1,S08000017,"",S08000024,Upper GI,"",4,"",4,""
319,2012Q1,S08000019,"",S08000019,Upper GI,"",16,"",16,""
320,2012Q1,S08000019,"",S08000031,Upper GI,"",4,"",4,""
321,2012Q1,S08000020,"",S08000020,Upper GI,"",27,"",25,""
322,2012Q1,S08000022,"",S08000022,Upper GI,"",19,"",19,""
323,2012Q1,S08000022,"",S08000031,Upper GI,"",1,"",1,""
324,2012Q1,S08000024,"",S08000024,Upper GI,"",32,"",32,""
325,2012Q1,S08000025,"",S08000020,Upper GI,"",1,"",0,""
326,2012Q1,S08000026,"",S08000026,Upper GI,"",1,"",1,""
327,2012Q1,S08000028,"",S08000028,Upper GI,"",2,"",2,""
328,2012Q1,S08000028,"",SB0801,Upper GI,"",1,"",1,""
329,2012Q1,S08000029,"",S08000029,Upper GI,"",17,"",17,""
330,2012Q1,S08000030,"",S08000030,Upper GI,"",13,"",13,""
331,2012Q1,S08000031,"",S08000031,Upper GI,"",98,"",92,""
332,2012Q1,S08000032,"",S08000031,Upper GI,"",5,"",5,""
333,2012Q1,S08000032,"",S08000032,Upper GI,"",23,"",22,""
334,2012Q1,S92000003,d,S08000015,Upper GI,"",22,"",22,""
335,2012Q1,S92000003,d,S08000016,Upper GI,"",6,"",6,""
336,2012Q1,S92000003,d,S08000017,Upper GI,"",17,"",17,""
337,2012Q1,S92000003,d,S08000019,Upper GI,"",16,"",16,""
338,2012Q1,S92000003,d,S08000020,Upper GI,"",28,"",25,""
339,2012Q1,S92000003,d,S08000022,Upper GI,"",19,"",19,""
340,2012Q1,S92000003,d,S08000024,Upper GI,"",37,"",37,""
341,2012Q1,S92000003,d,S08000026,Upper GI,"",1,"",1,""
342,2012Q1,S92000003,d,S08000028,Upper GI,"",2,"",2,""
343,2012Q1,S92000003,d,S08000029,Upper GI,"",17,"",17,""
344,2012Q1,S92000003,d,S08000030,Upper GI,"",13,"",13,""
345,2012Q1,S92000003,d,S08000031,Upper GI,"",114,"",107,""
346,2012Q1,S92000003,d,S08000032,Upper GI,"",23,"",22,""
347,2012Q1,S92000003,d,SB0801,Upper GI,"",1,"",1,""
348,2012Q1,S08000015,"",S08000015,Urological,"",12,"",11,""
349,2012Q1,S08000015,"",S08000031,Urological,"",1,"",1,""
350,2012Q1,S08000016,"",S08000016,Urological,"",13,"",13,""
351,2012Q1,S08000016,"",S08000024,Urological,"",1,"",1,""
352,2012Q1,S08000017,"",S08000017,Urological,"",17,"",17,""
353,2012Q1,S08000017,"",S08000024,Urological,"",4,"",2,""
354,2012Q1,S08000019,"",S08000019,Urological,"",36,"",30,""
355,2012Q1,S08000020,"",S08000020,Urological,"",41,"",36,""
356,2012Q1,S08000022,"",S08000022,Urological,"",16,"",15,""
357,2012Q1,S08000022,"",S08000031,Urological,"",2,"",2,""
358,2012Q1,S08000024,"",S08000024,Urological,"",95,"",85,""
359,2012Q1,S08000025,"",S08000025,Urological,"",1,"",1,""
360,2012Q1,S08000026,"",S08000020,Urological,"",1,"",1,""
361,2012Q1,S08000028,"",S08000028,Urological,"",1,"",1,""
362,2012Q1,S08000029,"",S08000024,Urological,"",3,"",2,""
363,2012Q1,S08000029,"",S08000029,Urological,"",29,"",27,""
364,2012Q1,S08000030,"",S08000030,Urological,"",32,"",30,""
365,2012Q1,S08000031,"",S08000024,Urological,"",1,"",1,""
366,2012Q1,S08000031,"",S08000031,Urological,"",87,"",85,""
367,2012Q1,S08000032,"",S08000031,Urological,"",2,"",2,""
368,2012Q1,S08000032,"",S08000032,Urological,"",41,"",38,""
369,2012Q1,S92000003,d,S08000015,Urological,"",12,"",11,""
370,2012Q1,S92000003,d,S08000016,Urological,"",13,"",13,""
371,2012Q1,S92000003,d,S08000017,Urological,"",17,"",17,""
372,2012Q1,S92000003,d,S08000019,Urological,"",36,"",30,""
373,2012Q1,S92000003,d,S08000020,Urological,"",42,"",37,""
374,2012Q1,S92000003,d,S08000022,Urological,"",16,"",15,""
375,2012Q1,S92000003,d,S08000024,Urological,"",104,"",91,""
376,2012Q1,S92000003,d,S08000025,Urological,"",1,"",1,""
377,2012Q1,S92000003,d,S08000028,Urological,"",1,"",1,""
378,2012Q1,S92000003,d,S08000029,Urological,"",29,"",27,""
379,2012Q1,S92000003,d,S08000030,Urological,"",32,"",30,""
380,2012Q1,S92000003,d,S08000031,Urological,"",92,"",90,""
381,2012Q1,S92000003,d,S08000032,Urological,"",41,"",38,""
382,2012Q2,S08000015,"",S08000015,All Cancer Types,d,203,"",197,""
383,2012Q2,S08000015,"",S08000031,All Cancer Types,d,22,"",18,""
